txn_id,txn_date,txn_time,vendor,vehicle_id,driver_id,gallons,unit_cost,total_cost,pos_odometer,gps_odometer,pump_lat,pump_lon,gps_lat,gps_lon
500014,2026-03-29,13:48,Pilot,TRK-4400,D-100,89.3,4.097,365.9,392842,392848,35.0408,-90.0483,35.0335,-90.027
500015,2026-04-01,21:09,Pilot,TRK-4400,D-100,79.8,3.927,313.34,393402,393412,41.898,-87.6327,41.9024,-87.6373
500016,2026-04-03,17:44,FleetOne,TRK-4400,D-100,87.1,3.932,342.49,394038,394034,43.6653,-79.589,43.6612,-79.578
500017,2026-04-04,10:59,Love's,TRK-4400,D-100,47.8,4.198,200.65,394395,394404,41.9862,-87.609,41.9824,-87.5944
500018,2026-04-05,20:41,Love's,TRK-4400,D-100,61.7,3.925,242.2,394848,394849,40.4704,-79.9955,40.4768,-80.016
500019,2026-04-07,16:18,Pilot,TRK-4400,D-100,54.8,4.087,223.99,395258,395250,35.0337,-89.9985,35.0288,-90.0017
500020,2026-04-09,08:35,PetroPass,TRK-4400,D-100,62.5,3.916,244.78,395736,395716,35.1088,-90.0542,35.1097,-90.0519
500021,2026-04-11,14:45,Love's,TRK-4400,D-100,58.5,3.861,225.89,396153,396170,40.4158,-79.9397,40.4085,-79.9462
500022,2026-04-14,21:06,Pilot,TRK-4400,D-100,57.4,3.936,225.92,396617,396602,40.3266,-79.8935,40.3138,-79.9045
500023,2026-04-16,08:27,PetroPass,TRK-4400,D-100,63.1,4.209,265.61,397046,397049,43.5507,-79.6123,43.5584,-79.6079
500024,2026-04-17,17:52,Love's,TRK-4400,D-100,62.8,3.985,250.25,397508,397508,41.6236,-93.5494,41.6251,-93.5458
500025,2026-04-18,06:24,Pilot,TRK-4400,D-100,70.3,4.264,299.76,398026,398016,41.6787,-93.5807,41.671,-93.5918
500026,2026-04-21,19:32,FleetOne,TRK-4400,D-100,46.9,4.018,188.45,398338,398339,42.2764,-82.9868,42.2769,-82.9897
500027,2026-04-23,09:20,FleetOne,TRK-4400,D-100,74.1,3.914,290.06,398954,398952,35.1088,-89.9852,35.1051,-90.0028
500028,2026-04-26,13:32,Pilot,TRK-4400,D-100,76.2,3.941,300.29,399519,399509,42.2833,-82.935,42.2891,-82.9177
500029,2026-04-28,19:55,PetroPass,TRK-4400,D-100,75.1,3.905,293.3,400035,400029,41.6033,-93.6349,41.6132,-93.6467
500030,2026-04-29,13:46,Pilot,TRK-4400,D-100,84.4,4.223,356.43,400626,400614,35.0214,-90.0033,35.0097,-90.0085
500031,2026-05-02,14:43,Love's,TRK-4400,D-100,54.1,3.767,203.82,400985,401003,41.5664,-93.5844,41.578,-93.5783
500032,2026-05-05,20:46,FleetOne,TRK-4400,D-100,77.6,3.64,282.5,401527,401520,42.3295,-83.0791,42.3443,-83.0754
500033,2026-05-06,20:33,TA/Petro,TRK-4400,D-100,81.0,3.985,322.8,402099,402096,32.7135,-96.8432,32.712,-96.8447
500034,2026-05-09,19:57,TA/Petro,TRK-4400,D-100,69.9,3.838,268.31,402572,402565,40.4101,-79.9578,40.4102,-79.9445
500035,2026-05-11,10:58,TA/Petro,TRK-4400,D-100,94.8,3.649,345.97,403242,403255,43.6802,-79.6229,43.6813,-79.6098
500036,2026-05-14,06:06,Love's,TRK-4400,D-100,58.0,4.029,233.66,403667,403663,32.6294,-96.9155,32.6299,-96.9202
500037,2026-05-17,09:00,Pilot,TRK-4400,D-100,58.8,4.064,238.96,404085,404083,40.4115,-79.9735,40.4044,-79.9753
500038,2026-03-08,20:07,Love's,TRK-4401,D-101,71.9,3.651,262.51,249813,249807,43.5352,-79.6741,43.5118,-79.6809
500039,2026-03-09,19:44,PetroPass,TRK-4401,D-101,90.6,3.94,356.93,250381,250385,43.5951,-79.5323,43.596,-79.5407
500040,2026-03-11,17:24,PetroPass,TRK-4401,D-101,68.5,4.208,288.26,250832,250833,42.2309,-82.9804,42.2205,-82.9756
500041,2026-03-13,14:18,TA/Petro,TRK-4401,D-101,60.9,3.789,230.78,251269,251259,35.1214,-90.0095,35.1247,-90.0058
500042,2026-03-16,08:56,FleetOne,TRK-4401,D-101,83.3,4.117,342.96,251851,251835,35.1192,-90.0066,35.1227,-89.987
500043,2026-03-18,20:02,FleetOne,TRK-4401,D-101,81.2,4.0,324.8,252403,252412,39.1157,-84.5417,39.0998,-84.5624
500044,2026-03-19,18:20,TA/Petro,TRK-4401,D-101,101.5,3.806,386.28,253071,253066,39.1174,-84.5204,39.1145,-84.5185
500045,2026-03-21,10:47,FleetOne,TRK-4401,D-101,55.5,4.34,240.85,253442,253443,40.4717,-79.9954,40.4775,-79.996
500046,2026-03-22,17:54,PetroPass,TRK-4401,D-101,61.3,4.113,252.11,253854,253847,41.9183,-87.6143,41.9229,-87.6174
500047,2026-03-23,13:46,TA/Petro,TRK-4401,D-101,40.9,4.155,169.92,254167,254147,32.664,-96.8751,32.6344,-96.8806
500048,2026-03-26,08:25,Pilot,TRK-4401,D-101,70.8,3.905,276.5,254675,254669,41.905,-87.6043,41.9129,-87.6009
500049,2026-03-29,06:26,TA/Petro,TRK-4401,D-101,87.7,3.817,334.74,255297,255296,41.5904,-93.5298,41.586,-93.5153
500050,2026-04-01,13:00,PetroPass,TRK-4401,D-101,62.7,3.883,243.45,255753,255743,39.1226,-84.5783,39.129,-84.5837
500051,2026-04-03,20:20,Pilot,TRK-4401,D-101,46.3,3.987,184.61,256077,256072,35.0873,-90.008,35.0894,-90.018
500052,2026-04-05,13:50,TA/Petro,TRK-4401,D-101,79.1,4.255,336.59,256592,256602,41.5956,-93.6154,41.5881,-93.6257
500053,2026-04-07,17:26,TA/Petro,TRK-4401,D-101,58.6,4.0,234.41,256996,257002,32.6617,-96.755,32.6691,-96.7566
500054,2026-04-10,18:39,Pilot,TRK-4401,D-101,51.2,3.989,204.25,257361,257351,41.855,-87.5905,41.8405,-87.5771
500055,2026-04-13,12:58,PetroPass,TRK-4401,D-101,36.5,3.906,142.57,257616,257614,39.1357,-84.4001,39.124,-84.4085
500056,2026-04-14,21:14,TA/Petro,TRK-4401,D-101,80.6,3.702,298.4,258119,258117,40.3359,-80.0212,40.3307,-80.0131
500057,2026-04-17,11:06,Pilot,TRK-4401,D-101,67.0,3.856,258.34,258549,258545,35.1271,-89.9619,35.1315,-89.9787
500058,2026-04-18,19:26,PetroPass,TRK-4401,D-101,52.9,3.829,202.55,258908,258897,32.6359,-96.7643,32.6383,-96.7704
500059,2026-04-20,18:51,Pilot,TRK-4401,D-101,71.9,4.021,289.09,259414,259401,41.5794,-93.5319,41.569,-93.556
500060,2026-04-22,18:32,Pilot,TRK-4401,D-101,44.3,3.907,173.08,259695,259707,41.8905,-87.6557,41.8963,-87.6504
500061,2026-04-24,07:21,PetroPass,TRK-4401,D-101,71.6,3.929,281.29,260201,260202,43.5135,-79.5918,43.5096,-79.5733
500062,2026-04-26,14:58,FleetOne,TRK-4401,D-101,79.6,3.82,304.04,260735,260735,43.6089,-79.5394,43.6056,-79.5563
500063,2026-04-29,19:14,FleetOne,TRK-4401,D-101,63.6,3.708,235.81,261202,261208,40.3739,-80.1282,40.3817,-80.1255
500064,2026-05-01,16:15,Pilot,TRK-4401,D-101,84.2,4.013,337.9,261729,261719,41.9194,-87.6083,41.9276,-87.6021
500065,2026-05-03,08:02,Pilot,TRK-4401,D-101,62.6,3.878,242.77,262152,262154,42.3749,-83.0229,42.3707,-83.0198
500066,2026-05-06,07:38,FleetOne,TRK-4401,D-101,57.3,3.602,206.39,262558,262560,40.3518,-80.0458,40.3498,-80.0346
500067,2026-05-07,08:00,PetroPass,TRK-4401,D-101,80.4,3.813,306.6,263126,263134,40.3889,-79.9676,40.3888,-79.9606
500068,2026-05-10,13:51,Love's,TRK-4401,D-101,50.2,4.053,203.45,263486,263505,35.0825,-90.0511,35.0815,-90.0398
500069,2026-05-11,06:55,PetroPass,TRK-4401,D-101,91.2,4.065,370.74,264115,264116,39.044,-84.4776,39.0446,-84.4721
500070,2026-05-13,06:16,Pilot,TRK-4401,D-101,84.1,3.707,311.76,264651,264666,43.4876,-79.5499,43.4995,-79.5601
500071,2026-05-16,07:21,Love's,TRK-4401,D-101,96.8,3.894,376.96,265322,265308,40.4006,-80.015,40.3904,-79.9945
500072,2026-05-19,11:23,PetroPass,TRK-4401,D-101,84.5,4.016,339.38,265868,265865,41.6625,-93.5682,41.6699,-93.5619
500073,2026-03-05,08:47,TA/Petro,TRK-4402,D-102,47.3,4.154,196.48,349127,349135,32.7128,-96.7325,32.7129,-96.7304
500074,2026-03-08,08:37,PetroPass,TRK-4402,D-102,25.0,3.938,98.45,349497,349498,35.1447,-89.9994,35.1472,-89.999
500075,2026-03-11,19:50,FleetOne,TRK-4402,D-102,26.7,4.027,107.51,349919,349911,41.9196,-87.6893,41.9183,-87.6794
500076,2026-03-14,20:30,Pilot,TRK-4402,D-102,26.3,4.002,105.24,350312,350315,41.6644,-93.545,41.663,-93.5574
500077,2026-03-16,21:15,PetroPass,TRK-4402,D-102,29.9,3.874,115.84,350745,350743,43.5686,-79.5844,43.5646,-79.582
500078,2026-03-19,14:46,Pilot,TRK-4402,D-102,39.6,3.633,143.85,351331,351352,40.4015,-79.9985,40.4003,-79.9863
500079,2026-03-20,21:59,FleetOne,TRK-4402,D-102,25.6,3.837,98.23,351728,351731,35.0553,-90.0163,35.0696,-89.9979
500080,2026-03-21,14:28,PetroPass,TRK-4402,D-102,43.8,3.97,173.87,352366,352369,32.8589,-96.7574,32.8519,-96.7477
500081,2026-03-22,07:28,Love's,TRK-4402,D-102,33.8,3.952,133.58,352844,352851,42.3168,-82.9788,42.2975,-82.9721
500082,2026-03-23,07:57,FleetOne,TRK-4402,D-102,32.5,4.075,132.43,353331,353339,40.3797,-80.0292,40.3792,-80.0265
500083,2026-03-25,21:21,Pilot,TRK-4402,D-102,20.0,3.948,78.96,353656,353649,32.689,-96.8052,32.6887,-96.8029
500084,2026-03-27,07:15,TA/Petro,TRK-4402,D-102,26.7,4.137,110.45,354027,354030,42.1749,-83.0852,42.1666,-83.0908
500085,2026-03-28,09:36,Pilot,TRK-4402,D-102,38.3,3.821,146.33,354604,354605,42.3239,-83.0768,42.3278,-83.0758
500086,2026-03-29,20:42,PetroPass,TRK-4402,D-102,45.4,3.758,170.63,355265,355270,39.0462,-84.5376,39.0502,-84.532
500087,2026-03-30,14:16,TA/Petro,TRK-4402,D-102,43.1,4.155,179.06,355875,355879,41.506,-93.6159,41.4973,-93.6147
500088,2026-03-31,11:33,Pilot,TRK-4402,D-102,32.7,3.915,128.03,356347,356344,41.9003,-87.5776,41.912,-87.5611
500089,2026-04-02,14:39,PetroPass,TRK-4402,D-102,34.1,4.08,139.12,356819,356816,42.3106,-82.9557,42.3155,-82.9437
500090,2026-04-04,06:47,Love's,TRK-4402,D-102,20.0,3.402,68.05,357043,357033,41.9226,-87.5761,41.911,-87.5832
500091,2026-04-05,10:52,PetroPass,TRK-4402,D-102,33.8,4.193,141.71,357501,357512,35.1066,-90.0501,35.1055,-90.0505
500092,2026-04-07,10:39,Love's,TRK-4402,D-102,38.9,3.907,152.0,358084,358076,41.6112,-93.5692,41.6012,-93.5796
500093,2026-04-08,20:44,Love's,TRK-4402,D-102,36.7,3.72,136.54,358584,358595,35.1115,-89.9632,35.1152,-89.9569
500094,2026-04-09,08:43,TA/Petro,TRK-4402,D-102,36.3,3.878,140.76,359133,359130,42.374,-82.9103,42.3871,-82.9114
500095,2026-04-10,16:07,Love's,TRK-4402,D-102,35.3,3.941,139.12,359624,359622,35.0635,-90.0207,35.0699,-90.0207
500096,2026-04-11,19:16,Love's,TRK-4402,D-102,38.5,3.765,144.94,360170,360170,41.575,-93.6828,41.5645,-93.693
500097,2026-04-14,10:18,Love's,TRK-4402,D-102,37.6,3.997,150.3,360688,360705,42.3205,-82.9692,42.2994,-82.9728
500098,2026-04-17,08:56,Pilot,TRK-4402,D-102,41.9,3.98,166.78,361275,361280,39.1243,-84.5264,39.1242,-84.5165
500099,2026-04-18,19:56,Pilot,TRK-4402,D-102,28.5,4.055,115.56,361678,361674,41.6051,-93.6381,41.5965,-93.6435
500100,2026-04-20,13:35,FleetOne,TRK-4402,D-102,25.1,3.967,99.56,362043,362042,43.5311,-79.5264,43.5326,-79.5223
500101,2026-04-21,08:41,Love's,TRK-4402,D-102,41.2,4.12,169.74,362664,362653,39.0678,-84.503,39.0571,-84.4985
500102,2026-03-04,08:35,Love's,TRK-4403,D-103,44.6,3.984,177.69,325517,325515,39.166,-84.3595,39.1601,-84.3452
500103,2026-03-05,10:41,Love's,TRK-4403,D-103,67.8,3.889,263.66,326000,326000,39.0228,-84.4673,38.55251787559099,-84.16945887411465
500104,2026-03-06,06:22,Love's,TRK-4403,D-103,62.1,4.187,260.01,326426,326421,32.7247,-96.7513,32.7371,-96.74
500105,2026-03-09,09:53,FleetOne,TRK-4403,D-103,54.8,3.747,205.32,326388,326802,40.4652,-79.958,40.4801,-79.9607
500106,2026-03-12,18:05,PetroPass,TRK-4403,D-103,71.5,3.896,278.55,327284,327290,42.3176,-83.0494,42.3221,-83.0494
500107,2026-03-13,12:23,TA/Petro,TRK-4403,D-103,140.9,3.935,554.44,327756,327745,43.4951,-79.6447,43.4925,-79.6516
500108,2026-03-15,18:57,PetroPass,TRK-4403,D-103,67.6,3.937,266.12,328226,328231,32.7002,-96.7141,32.677,-96.7341
500109,2026-03-18,20:23,PetroPass,TRK-4403,D-103,71.2,4.103,292.12,328759,328753,43.6092,-79.5519,43.6119,-79.5575
500110,2026-03-21,14:23,Pilot,TRK-4403,D-103,74.7,3.737,279.18,329358,329366,40.3406,-80.0182,40.3381,-80.0332
500111,2026-03-23,11:33,PetroPass,TRK-4403,D-103,163.8,3.895,638.0,329995,330008,40.3046,-80.0058,40.2946,-80.0067
500112,2026-03-25,20:46,Love's,TRK-4403,D-103,72.7,3.752,272.77,330057,330521,39.1427,-84.54,39.1491,-84.5401
500113,2026-03-27,10:40,PetroPass,TRK-4403,D-103,73.8,4.18,308.47,331046,331056,41.5872,-93.5625,41.6065,-93.5429
500114,2026-03-28,06:31,FleetOne,TRK-4403,D-103,49.9,3.877,193.47,331435,331441,42.321,-83.0051,42.3145,-83.0119
500115,2026-03-31,12:07,PetroPass,TRK-4403,D-103,73.5,3.877,284.93,331249,331948,41.5643,-93.7326,41.5505,-93.7507
500116,2026-04-01,15:54,Pilot,TRK-4403,D-103,70.4,4.012,282.42,332419,332424,41.6391,-93.645,41.19804297694425,-94.10011707819764
500117,2026-04-03,16:19,FleetOne,TRK-4403,D-103,56.4,3.772,212.76,332854,332854,34.9858,-89.9957,34.989,-90.0036
500118,2026-04-06,20:43,FleetOne,TRK-4403,D-103,91.6,3.8,348.06,333471,333474,42.3842,-83.0265,42.3946,-83.0259
500119,2026-04-08,14:05,FleetOne,TRK-4403,D-103,49.5,4.178,206.79,333357,333814,39.1151,-84.5363,39.1088,-84.5285
500120,2026-04-09,15:06,Love's,TRK-4403,D-103,79.5,4.069,323.51,334389,334384,42.2776,-83.0025,42.2765,-83.0108
500121,2026-04-12,07:01,FleetOne,TRK-4403,D-103,92.1,3.894,358.62,334123,335002,43.5688,-79.5988,43.5628,-79.5826
500122,2026-04-15,15:03,FleetOne,TRK-4403,D-103,35.6,4.069,144.87,336107,335286,32.703,-96.7875,32.6898,-96.7877
500123,2026-04-17,21:52,TA/Petro,TRK-4403,D-103,60.0,3.631,217.84,335719,335727,42.3423,-83.0788,41.86977522190714,-82.82207401496102
500124,2026-04-18,12:07,PetroPass,TRK-4403,D-103,35.9,4.063,145.86,335956,335978,41.8874,-87.724,41.8775,-87.7117
500125,2026-04-19,15:09,Love's,TRK-4403,D-103,152.9,4.011,613.28,336540,336530,32.7918,-96.8101,32.7956,-96.825
500126,2026-04-21,11:11,PetroPass,TRK-4403,D-103,61.2,3.984,243.84,337014,337008,32.7484,-96.7854,32.7325,-96.7866
500127,2026-04-24,08:25,FleetOne,TRK-4403,D-103,78.7,4.012,315.73,337561,337567,39.1234,-84.4671,39.1505,-84.4692
500128,2026-04-25,20:45,Pilot,TRK-4403,D-103,110.4,4.296,474.28,337998,338000,43.6163,-79.6366,43.6255,-79.6377
500129,2026-04-27,08:58,FleetOne,TRK-4403,D-103,77.9,4.02,313.15,338519,338511,32.6746,-96.8205,32.6721,-96.8243
500130,2026-04-29,19:21,Pilot,TRK-4403,D-103,63.1,3.781,238.58,338964,338957,41.9664,-87.5377,41.976,-87.5529
500131,2026-03-06,11:11,FleetOne,TRK-4404,D-104,78.6,3.994,313.9,330856,330857,41.6737,-93.5387,41.645,-93.5419
500132,2026-03-08,10:58,Pilot,TRK-4404,D-104,82.4,4.0,329.64,331434,331449,32.6664,-96.7261,32.661,-96.7215
500133,2026-03-09,15:21,Pilot,TRK-4404,D-104,70.1,3.739,262.07,331908,331913,42.3591,-83.0162,42.3571,-83.0211
500134,2026-03-12,13:13,TA/Petro,TRK-4404,D-104,79.2,4.027,318.94,332445,332452,35.2115,-90.0784,35.2241,-90.0647
500135,2026-03-13,12:48,FleetOne,TRK-4404,D-104,83.6,3.917,327.5,333012,333019,39.0895,-84.4805,39.1035,-84.4787
500136,2026-03-14,10:59,PetroPass,TRK-4404,D-104,82.2,3.909,321.35,333554,333558,41.5566,-93.6818,41.559,-93.6826
500137,2026-03-15,13:29,Pilot,TRK-4404,D-104,82.6,4.004,330.74,334157,334139,39.0305,-84.4281,39.029,-84.4252
500138,2026-03-17,10:20,TA/Petro,TRK-4404,D-104,61.7,4.026,248.43,334566,334565,32.6802,-96.7266,32.6791,-96.7036
500139,2026-03-19,09:35,Love's,TRK-4404,D-104,80.3,3.822,306.9,335121,335132,32.723,-96.7506,32.7234,-96.7634
500140,2026-03-22,10:11,FleetOne,TRK-4404,D-104,76.1,3.948,300.44,335619,335622,43.5905,-79.6081,43.6114,-79.6227
500141,2026-03-24,10:14,FleetOne,TRK-4404,D-104,78.5,3.999,313.96,336155,336153,41.9389,-87.6405,41.9477,-87.6542
500142,2026-03-25,13:49,FleetOne,TRK-4404,D-104,68.1,3.789,258.05,336621,336631,42.2448,-82.9839,42.2333,-82.9767
500143,2026-03-27,08:00,TA/Petro,TRK-4404,D-104,89.6,3.918,351.07,337231,337230,42.3249,-83.1054,42.3245,-83.0854
500144,2026-03-30,13:36,TA/Petro,TRK-4404,D-104,74.2,3.698,274.37,337780,337791,35.0643,-89.9344,35.0611,-89.9537
500145,2026-04-01,15:45,TA/Petro,TRK-4404,D-104,66.6,4.112,273.85,338258,338254,40.4599,-80.0085,40.4386,-80.0023
500146,2026-04-04,08:24,Love's,TRK-4404,D-104,60.7,3.806,231.03,338635,338629,42.2156,-83.0465,42.2308,-83.0491
500147,2026-04-06,21:45,TA/Petro,TRK-4404,D-104,87.6,3.683,322.62,339226,339231,41.8598,-87.5724,41.8638,-87.5881
500148,2026-04-07,21:48,TA/Petro,TRK-4404,D-104,50.7,3.841,194.72,339581,339588,32.7405,-96.8073,32.7365,-96.8059
500149,2026-04-09,12:44,Pilot,TRK-4404,D-104,58.6,3.974,232.89,340013,340011,42.3365,-83.0794,42.3367,-83.0816
500150,2026-04-12,08:23,FleetOne,TRK-4404,D-104,54.0,4.104,221.63,340371,340377,41.9173,-87.5405,41.9158,-87.535
500151,2026-04-13,21:09,TA/Petro,TRK-4404,D-104,41.4,3.802,157.41,340640,340646,32.6772,-96.8693,32.6631,-96.8711
500152,2026-04-16,12:27,FleetOne,TRK-4404,D-104,75.7,4.187,316.93,341152,341155,40.3973,-79.9434,40.4099,-79.9576
500153,2026-04-18,12:55,FleetOne,TRK-4404,D-104,72.4,3.892,281.81,341647,341652,41.9144,-87.6126,41.914,-87.6118
500154,2026-04-19,09:50,PetroPass,TRK-4404,D-104,47.8,3.836,183.36,341981,341972,43.6023,-79.5619,43.6141,-79.56
500155,2026-04-20,17:58,TA/Petro,TRK-4404,D-104,79.6,3.767,299.85,342495,342486,42.2585,-82.9927,42.2583,-82.9899
500156,2026-04-23,14:34,Pilot,TRK-4404,D-104,70.0,3.729,261.05,342966,342967,43.4793,-79.5676,43.4644,-79.567
500157,2026-04-25,21:00,Love's,TRK-4404,D-104,59.8,4.141,247.63,343388,343384,39.1268,-84.5193,39.1245,-84.535
500158,2026-04-27,07:17,TA/Petro,TRK-4404,D-104,80.9,3.785,306.2,343876,343876,41.9899,-87.5404,41.983,-87.5382
500159,2026-04-30,19:56,PetroPass,TRK-4404,D-104,63.9,3.97,253.7,344351,344348,41.6225,-93.6114,41.6064,-93.6015
500160,2026-03-08,06:21,Love's,TRK-4405,D-105,31.6,3.854,121.79,289748,289741,32.732,-96.8269,32.7345,-96.8283
500161,2026-03-09,11:57,TA/Petro,TRK-4405,D-105,29.9,3.87,115.72,290208,290207,41.9205,-87.6233,41.9443,-87.6407
500162,2026-03-12,18:03,FleetOne,TRK-4405,D-105,30.0,3.986,119.57,290698,290699,32.7951,-96.8227,32.7977,-96.8124
500163,2026-03-15,08:07,FleetOne,TRK-4405,D-105,36.9,3.798,140.15,291245,291237,42.2708,-83.0264,42.2769,-83.0398
500164,2026-03-16,16:26,TA/Petro,TRK-4405,D-105,47.6,3.965,188.72,291889,291890,43.553,-79.6265,43.5537,-79.6261
500165,2026-03-18,18:50,Love's,TRK-4405,D-105,23.5,4.087,96.05,292252,292240,42.2905,-83.041,42.2916,-83.0449
500166,2026-03-19,10:59,TA/Petro,TRK-4405,D-105,35.8,3.863,138.31,292776,292781,41.9157,-87.6246,41.9246,-87.6323
500167,2026-03-21,15:04,Love's,TRK-4405,D-105,41.2,4.207,173.31,293355,293360,39.0485,-84.4965,39.0367,-84.5043
500168,2026-03-23,13:04,Love's,TRK-4405,D-105,30.2,4.076,123.1,293816,293827,39.0541,-84.3595,39.0496,-84.3588
500169,2026-03-25,11:29,TA/Petro,TRK-4405,D-105,32.6,3.982,129.8,294326,294333,32.7731,-96.7595,32.7741,-96.7839
500170,2026-03-27,17:42,PetroPass,TRK-4405,D-105,36.8,3.995,147.02,294911,294913,39.1508,-84.5829,39.1507,-84.5802
500171,2026-03-28,08:13,FleetOne,TRK-4405,D-105,30.8,3.866,119.06,295365,295364,40.398,-79.9779,40.395,-79.982
500172,2026-03-30,15:45,Pilot,TRK-4405,D-105,33.2,4.094,135.92,295845,295844,40.3024,-80.0987,40.3051,-80.0988
500173,2026-04-02,21:26,FleetOne,TRK-4405,D-105,39.8,3.911,155.65,296413,296408,32.7385,-96.7389,32.7449,-96.7477
500174,2026-04-04,16:24,TA/Petro,TRK-4405,D-105,27.4,4.062,111.3,296810,296809,40.4029,-80.0559,40.407,-80.0501
500175,2026-04-05,21:33,PetroPass,TRK-4405,D-105,40.4,3.862,156.02,297422,297422,35.1439,-90.0749,35.1308,-90.0952
500176,2026-04-06,19:06,PetroPass,TRK-4405,D-105,36.0,3.985,143.45,297960,297961,43.585,-79.5664,43.5898,-79.5733
500177,2026-04-07,11:32,Love's,TRK-4405,D-105,25.2,3.787,95.44,298321,298316,39.1512,-84.4855,39.1528,-84.4876
500178,2026-04-10,11:44,FleetOne,TRK-4405,D-105,37.4,3.857,144.27,298889,298874,42.2403,-83.0532,42.222,-83.0459
500179,2026-04-11,09:42,PetroPass,TRK-4405,D-105,40.3,3.881,156.42,299407,299419,41.7996,-87.5867,41.789,-87.5847
500180,2026-04-12,19:34,Pilot,TRK-4405,D-105,26.6,3.627,96.47,299825,299829,43.5867,-79.6291,43.5712,-79.6245
500181,2026-04-15,09:58,PetroPass,TRK-4405,D-105,41.0,3.93,161.15,300409,300405,41.842,-87.5984,41.8434,-87.6031
500182,2026-04-18,07:42,Love's,TRK-4405,D-105,31.2,4.129,128.81,300923,300935,34.9476,-90.0308,34.9579,-90.034
500183,2026-04-19,17:27,TA/Petro,TRK-4405,D-105,22.4,3.942,88.29,301228,301242,35.0708,-90.0509,35.0795,-90.0435
500184,2026-04-20,10:05,Love's,TRK-4405,D-105,38.4,4.191,160.92,301828,301838,40.3983,-80.0581,40.3916,-80.0661
500185,2026-04-23,14:20,PetroPass,TRK-4405,D-105,20.0,3.679,73.59,302124,302122,32.6545,-96.8436,32.6746,-96.843
500186,2026-04-24,08:16,PetroPass,TRK-4405,D-105,32.7,4.086,133.62,302616,302622,41.5399,-93.6143,41.534,-93.6127
500187,2026-04-25,16:36,FleetOne,TRK-4405,D-105,29.2,3.986,116.38,303036,303035,39.0785,-84.4602,39.0761,-84.4632
500188,2026-04-28,14:12,TA/Petro,TRK-4405,D-105,34.3,3.983,136.6,303585,303585,41.9788,-87.5756,41.9805,-87.5812
500189,2026-04-30,09:45,Pilot,TRK-4405,D-105,31.6,3.835,121.18,304046,304039,41.532,-93.5805,41.5374,-93.5781
500190,2026-03-05,09:00,PetroPass,TRK-4406,D-106,63.8,4.282,273.2,248834,248825,32.6667,-96.7783,32.6692,-96.7923
500191,2026-03-08,14:02,PetroPass,TRK-4406,D-106,84.1,3.76,316.24,249413,249412,39.1889,-84.4671,39.1888,-84.4512
500192,2026-03-11,12:51,Pilot,TRK-4406,D-106,75.7,3.952,299.18,249949,249944,40.4065,-80.0035,40.3932,-80.0182
500193,2026-03-13,08:30,Love's,TRK-4406,D-106,64.7,3.876,250.78,250377,250381,39.133,-84.5198,39.1341,-84.5125
500194,2026-03-16,06:54,TA/Petro,TRK-4406,D-106,73.6,4.049,298.01,250892,250888,41.8618,-87.669,41.8519,-87.6624
500195,2026-03-17,17:24,Love's,TRK-4406,D-106,71.6,4.124,295.27,251422,251437,42.0429,-87.5817,42.0487,-87.5866
500196,2026-03-19,15:15,FleetOne,TRK-4406,D-106,52.8,3.991,210.72,251791,251786,43.5845,-79.6086,43.5942,-79.609
